Well_ID,Prediction_BBL,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
72,1176907.003267921,113655.27219488262,1130690.9542866873,810668.266775053,1615223.5633954317,3053778.4440122186,1209133.8863963254,733826.8498189952,976414.6823872672,1459709.6724400986,2442294.423892676,1268617.288471003,8564490.872039579,799767.3712306721,1095173.4422267557,1525549.1693523761,1046719.966300407,1506339.906572167,628665.3306423454,1093169.5643590395,1383887.8503853455,1043860.7278590603,855461.4829856872,659119.1572332163,-164272.49223862588,1306096.3974946272,1318111.4583049405,1385399.19759828,1598723.2729170136,2812315.04767727,16718054.933579527,1757611.2017420407,698801.2879556108,867607.2466734895,819975.0608011694,1092505.591917192,1095539.61237136,1461480.9299393333,5484608.298056178,1343270.759434485,1146962.5030027817,296664.2323819506,4042205.286935984,1691579.6903530166,766357.7171620943,1087529.238175953,2149659.8841019794,2122592.342504926,1155863.0991116278,1192506.5438201462,1405594.109301197,1118955.8411818163,1460834.2745167587,1608039.540241028,-58871.41385279666,1096627.668080585,1310951.7757889656,894892.698212408,964375.1728445156,1560654.2817372798,1179367.8489731874,1203683.9269847695,776758.6746567423,1076972.336152055,996396.859015241,1398759.2604684918,5960323.428173816,827702.5168324322,1321347.3810229932,1110375.6872048185,177123.92574230046,-100412.62245064601,1119685.065785147,1155894.5559925123,1145144.6878191908,997301.0348852661,-3156425.6415461767,799526.0089835315,8138842.498844372,1544649.8439484637,2044114.6311156005,1235683.97052609,1192832.915876687,1454171.2470344123,966597.1571291795,1185252.875250722,1348478.4537480925,258654.87366446946,1379903.1382561864,1226845.6095984303,1174446.1575626547,12235606.822605163,1101093.2081601757,2552704.333614709,1265719.5559919637,498978.1390884726,1743068.664264279,1093699.583364882,944373.5416850995,795752.6394539711,1805297.257351781
73,1808767.6884173937,1709684.015507537,1815544.949605874,2537460.656165328,1748959.1891560669,1622387.316091334,1851761.4141156552,1895891.2496828984,1733874.8082158864,2869503.516587464,1704127.4101511159,1992393.1301513398,1686932.3412137802,1680548.8658172966,1757469.5113599042,1779273.751237433,1383770.7966362466,1761091.0476650805,1777315.250317638,1725941.5229919143,1766628.3742601823,1860308.5559997354,1787973.5690258017,1785337.0893485488,1796452.533170547,1776759.2090403384,1829182.981730584,1815377.2013231055,1827281.541663542,1743452.6127249002,1756747.551149471,1764867.5922088947,1830731.5785702877,1770977.7377599354,1757943.029468028,1842744.2852904021,1796470.8030644408,1806128.0878404009,1814254.9439436612,1813170.679448103,1815442.9902671073,1741613.4203817844,1776758.4903847312,1835773.069426934,1871569.9651155567,1812790.5727496014,1751714.3533772032,1777475.528506407,1847080.288727974,1904828.482927954,1852708.4745293395,1878975.742942032,1821916.7904156845,1821123.065426668,1903575.3361480727,1806161.299695436,1782845.2557674802,1816771.9635081657,1570573.8320108596,2014393.2807696718,1657821.0456176985,1878900.2599648486,1955418.4571285776,1763938.793666061,1811583.807933364,1872499.2220898715,1262036.4452691341,1705159.986655936,1834398.3037934469,1795989.0840731503,1816238.5459053072,1752661.8825436956,1801024.690981754,1815530.8081703626,1792473.8764006176,3600104.187276386,1822089.2781406778,1891547.234290419,1901987.5647283483,1791359.2088701178,1859876.3346706657,1848188.4586446001,1801763.1003207837,1839933.759013424,1761834.059370757,1847541.8574407415,1831560.045240063,1800535.661302768,1797522.8891471575,1766056.286043944,1811374.0771393513,1868908.1925233381,1653492.8076271792,1632545.2889262687,1838850.4123546174,1802484.0457372381,1868018.7008722892,2179786.7541059125,1825799.6131368948,1821997.7104626044,1805392.421700905
74,1598195.7555180588,1358764.6071610027,1561941.8000958753,1603857.7962284167,1734699.799756816,1582862.4548343783,1621904.1203946476,1533552.6851861286,855470.9557280487,1621459.0539017958,1704603.1527619695,1565834.0020981934,1611219.81337579,1624791.9916344169,1782194.817603231,1748718.0178648417,1612281.8368010798,1623881.2952456656,1572326.1954330194,1597501.1003950941,1594752.8826176352,2181733.810674251,1456010.5491710731,1673874.0549411378,1701717.7904282925,1589282.242464895,1543902.8173430269,1663526.570138868,1541148.6760041758,1631266.9265361202,1691207.208232178,1590832.9894897304,1717530.7615270112,1813701.0619003726,1645035.3645544613,1524967.1949650769,1569670.225296264,1632546.411824917,1515439.608962817,1603475.3653312775,1466341.813350386,1530365.279063594,1646291.0652229977,1583456.7537315446,1528020.8888770754,1641766.1487226798,1704585.929428436,1548904.4766628118,1629738.5292284878,1510418.7022129747,1640110.2740247466,1604029.55862909,1518862.7499790678,1585035.0516632139,1553383.2399171458,1660052.8172652894,1609767.5066290707,1478536.4143577712,1526034.5315651628,1592631.3208680511,1652777.1200652386,1589305.0619735583,1540900.1230754417,1590182.0722005733,1542354.7104123624,1533045.9594550442,1608997.164694244,1447126.0305406048,1670256.6001992892,1555338.6623088752,1652664.5934015464,1644647.6422879752,1692656.079132236,1664645.2206979366,1552007.924831588,1615817.9105588833,1602746.504365544,1777898.59200928,1666692.263446533,1592953.621881686,1567921.3857024359,1635342.136281437,1655362.7358983404,1569566.159276717,1565262.9489960966,1638393.6293462135,1621572.783767554,1576491.3829837374,1563904.431304784,1591313.3068475812,1564952.6173516968,1664660.7362597866,1571098.8448057775,1598890.4106410232,1538871.1385426773,1516792.476964714,4356214.6712315045,1796407.2630264428,1578651.7624401434,1743799.350120877,1585283.5090209702
75,2538923.857272824,2422307.745602484,2286393.002684781,2508289.490055425,2041120.8846240374,2048740.924720541,2562438.1972697387,2822959.9956477764,2651526.816733429,2634843.3352658725,2481655.875854554,2664419.8624053877,3057414.0595283518,2623499.785017877,2439012.4467860004,2439381.6147516845,2636138.6800698647,2603465.5128459465,2324009.449545871,2180293.1088391417,3476610.5231667077,2285898.4181256383,2386082.2769444175,2715440.4819956617,1833512.6058276754,2463384.6384305647,2999701.0150858955,2483810.4074376896,2330204.2015549587,3229063.731087709,2720660.2117162873,2527841.437373899,2361672.1222313587,2765351.8845340405,2454724.4809217583,2306871.232679461,2473334.666814414,2679822.2357286774,2424975.6562317936,2310771.0278640995,2420911.146808669,2261035.474158149,2763639.0008022403,2754361.9638797734,2281616.5760524124,1984922.2617344067,2739700.5606333297,2579764.1006635083,2626138.352182909,2533196.12647772,2318914.5506717805,2634694.7925606747,3237534.3095932147,2557375.7984828628,2415103.9131659167,2459612.7940954315,2603590.9748342363,2632023.8296254463,2932286.734186634,2356996.4590214565,2530017.115217209,2655050.652274009,1417965.0663515928,2436738.7579806913,2515278.4194960147,2094440.49048386,2263653.4225482945,2626505.194796621,2459499.376861928,2422278.7113038064,2665653.9623863483,2434648.1017936785,2467127.0916153146,2765758.8380019446,2629056.715685948,4282286.614903918,3103777.3475187747,2113263.9730415894,2829529.7120371535,2544651.5880679274,2985445.599515328,2322996.162132032,4159337.3933531106,2639659.668502056,2606406.839549223,2087980.8134211614,2456118.421415111,2211545.9575076113,2667371.2544258893,2971808.47955669,2575141.6543512065,2682152.4817038495,2734055.1676351028,437040.3501655783,2638975.061377993,1862926.167683385,32367.53645658912,2549992.7415276705,2581847.1574907154,3058600.3597360654,2647553.324181383
76,1475139.9653359605,1413033.0608508547,1469024.6277294178,1504242.4097916195,1557993.035347452,1383400.7091228878,1436266.429079654,204402.68713341933,1483325.8348526082,1534494.7178308037,1424115.752027903,1391048.1010655283,4330688.575537044,1384946.0322207308,1446631.3861757426,1545470.5081227042,1533943.2300339423,1418649.2227308473,1360403.3574559828,1428881.9898140025,1391650.9181623126,1582094.6334461675,1610843.5446684863,1387894.928490678,1581127.8623448045,1351793.4130907846,1520061.8770519763,1516926.3176797428,1500594.3510901819,-651725.9520948685,1540511.353710399,2833534.2982892976,1479461.8913350464,1390246.0283426791,1452845.2528038716,1476810.2038892398,1702205.0455203946,1493433.053093847,1406496.0991599446,1097015.975369241,1476854.0016744267,1425526.8963948113,1496155.2507997286,1531975.6831385265,1407394.0736731426,1409055.1548257947,1495486.9971695896,1572412.73562054,1497646.384419956,932053.751707626,1709930.4975622278,1400633.8264126957,1457298.993323895,1367074.3764251142,1441240.150991825,1448964.6131288619,1470409.9333479493,1396539.7425530106,1467170.8285561525,1670403.1309357674,1607432.195829574,1378147.273356864,1377651.373206925,1316259.4240404433,1475222.5642493449,1471006.0376506955,1467233.411608541,1502587.7031338622,1359512.7590562706,1380444.4026024062,1827724.3007427563,1524483.408919071,1501437.9044400288,1486224.2350940786,1478640.3930973427,1514800.6560753472,1819103.7176067599,1570303.4453603106,1468074.4601240135,1543581.007310365,1489261.1205896304,1483459.0344067523,1526678.606742486,1437436.841068204,1448787.8138737008,1514787.402644243,1479162.0691353714,1522511.5775448645,1454749.2847774313,1445812.5378075945,1627786.7675120817,1449934.5242325868,1475057.3664225761,1419403.5039986107,1438897.5481311206,1416017.246907259,1506869.745426091,1465801.8873429608,1522395.0024542483,1625317.3133641903,1540794.1165031248
77,1253038.3293402332,1071831.199317831,1311091.403301251,1300032.9748804322,1327523.1094378505,1528985.9375647684,483661.3321278766,1508129.8550575937,1110583.4191208554,1996151.0435698915,1308256.7242543334,975817.2158096225,1308703.0935782949,1207951.3793307866,1386579.2815563155,-193848.71433836152,1165291.2170546951,1501938.1441533554,-6314462.957928646,1135458.9357001113,1559095.5477548281,1159276.2037195158,1322844.4915567213,1883273.5374418877,1621963.8605029047,777844.6706749289,1235742.3588946473,1280300.6623183836,1116775.7964049198,1330772.725048014,6017312.128495906,1183203.2628647282,1831862.575977538,1123350.0629169683,1410990.3110641814,1495098.9152860676,1555905.7533019646,2240033.137846253,1137955.4635273027,1321042.5465827638,4213432.158526356,1314502.8976170458,507309.9868462465,-11025155.909114296,1068924.0395168536,1230580.5000211378,1281946.546153427,1331399.4464186411,1294247.7352488996,1313904.300697941,1367681.5767953328,1298276.2394035172,822713.1628475178,793967.8284464767,1266966.9313614583,1237467.6897296081,1147150.9252849277,1322703.4467743258,1192714.3830493134,1157463.2326191291,1298920.940888489,1127420.3941901436,1269656.1212295366,1245288.93136159,1330425.6642144546,1250542.7429446534,1175727.5826518638,1305414.5938818494,1009327.6794856775,1114071.8546347981,3356914.158256155,-11410878.389104461,794199.592390884,-1589839.603498618,1151723.8320968598,852682.6544923165,803278.1655928276,1060415.4046724811,1322156.294430879,1429993.442668348,2536453.308401361,1324076.862319845,1196464.494891891,1490992.842321761,1124143.2496864456,920825.0181239475,1174867.9486653598,1254314.2639979695,1340530.7238676741,646199.9315966647,1251762.394682497,1127396.2962697446,1257503.3914341861,1423299.0176758152,1276896.425461241,928530.8675407292,849180.7510334973,1315375.5447692033,-3820827.182122917,1198133.65289386,1267779.148377772
78,1934884.3415597724,3407504.368894795,4245578.500538781,9656674.507808262,-896262.036364015,-5761109.859807261,70431666.18312806,2493509.3173126513,-113311084.72775929,-98315720.20660613,287475913.799149,-1205510.868551762,-42151611.50108921,61134068.02196503,5955588.899062497,-50514222.21196133,51984261.68276888,12012058.437490828,-37842627.64151185,-5216003.622031089,-21974267.37055309,-50536200.012311384,-271295754.35222113,42010664.717530854,-958199.4517576643,43091449.548438296,3246735.662694281,-1149914.2519997584,-66209690.57249554,-5292431.303726299,3061339.155982306,1971327.7898970875,-52137799.41588183,4405091.9283595625,2036806.8959668947,-2606503.7193324845,52237151.98783439,-68693621.2642971,-4556617.016002323,-2881675.6042852188,-138570529.13415012,-7868687.647739305,65153010.21076325,35590131.631468594,7873373.1072522765,1151161.8605425886,6408791.538004205,-3302580.6368806865,-21051723.436877172,231708.89997354778,4204529.499412928,-11145442.401672715,8213177.835916228,43082154.49641877,-5322479.44076629,12146014.350506825,-8331761.427918766,40948836.67168947,64842110.8087916,113813239.16131148,180704708.19493425,22323989.038585648,42469565.88954167,46449323.04473556,-153175.31697139284,75133873.28366864,41419694.215712205,-3434813.279903407,-17549262.41543402,21357740.872301888,-3650694.0747052114,4074823.629243059,-108980326.09669329,1438381.401845811,24640640.17141635,11427717.26472744,1047251.4879434013,-92955333.93835583,3791010.151495767,23021648.860211324,299745.11487128097,1694713.4792329152,-5239124.231406665,-5154255.967296699,-17407507.862401728,301916901.74971664,4053057.7790204487,551249.7341399551,49111240.56852668,29419050.4121962,-9912266.880590685,-299430931.5828073,17105359.967287,2826394.879056421,52387205.89018274,1184633.2718660103,1898440.8932224575,-29480958.743921697,11594379.781185862,21103907.349444892,1069228.6399734889
79,764327.3453212061,2779230.1075724983,737533.8966246496,-2605267.027638146,-12013111.422960306,3621812.7799889054,583588.934767972,769959.5303720054,-14069280.66789371,767246.6479156634,1053254.9183318764,-4523422.455117272,4545856.92262248,1616375.266769458,601625.5102367406,10128167.522170272,906911.3194852252,-1622048.020455777,329100.86860837764,-3692613.4494884484,-140705.4752096585,3098802.2191564753,684393.7007758173,805931.0885516896,1237783.155193925,751943.6446163594,-1454953.2282754818,-9929953.702401998,308201.84986337624,695501.1653475233,997651.4722276689,-2977159.502704099,843368.4323835245,760873.6800371367,4492158.513942193,2118984.4692223426,1827612.9597452197,-1827275.2293061689,1164859.5493116626,-562916.1445561477,518907.80748568475,546758.3099057819,18841151.39349619,789422.7702045499,3858546.1110766083,97013796.04722632,210397.79943814408,840890.0915105985,3740591.874512989,1077824.0158275142,913031.1825218166,10636266.96407305,-3264394.852149912,1282403.4634448977,1018439.8350652005,913688.578145785,3699471.287443432,2300085.9276366206,4236377.820061895,761408.0427267489,2780523.3065947797,-1059575.2478704273,419800.3047193242,-599916.7531248976,-1001951.1349611634,683968.1695884485,-4194483.612607604,916458.4905016024,820592.1597958405,14865227.497949744,-1459315.8486809295,3261940.9080947004,-5783354.485224823,787934.775604723,-3439340.4365393994,-301259.2359135868,118708.6957669279,-18021564.489719592,-886918.1707861603,907198.3409927643,4978345.044212061,723698.7417398854,724208.8679666524,31985709.124845546,2123985.2895844793,14930260.397980144,672560.4768150162,230813.239647276,10774926.661393002,814846.5448315768,867743.0142984164,1521987.6670624386,-965606.3387292416,535530.9158707301,648239.0088936349,787709.4343246964,-213023295.33125064,895582.113995475,-1572928.6344693187,-2474803.400529148,137189.06337456638
80,1724186.2959798048,31953881.914177325,2894662.9225703804,7338024.60810279,26119535.822086874,1659226.8687113484,42688780.227193564,3918415.4677058044,-4626053.439389787,4256394.09829892,-7561537.104790309,45960446.12321363,-59913453.7639857,2388192.0550671117,-683094.7250201222,125621090.94664174,106259612.09155276,5825697.21502188,-5140884.540534816,1789145.7232482613,-9025687.687806018,-6258236.955250958,-3642893.875708171,-8066695.152555098,-186427327.58908427,-3188395.224363527,-529721.3774975047,10497645.978420842,33765841.597747914,-1181706.874855382,-110059693.75350969,87538601.15471558,341815.2596551336,3485818.8288473533,-48621.97054589004,36450506.09895312,-9499490.433063598,-16497406.130399205,232652063.38864627,8679917.168101955,74298035.70095564,7504791.601874806,26735256.787747324,-3921326.0294288523,-11201543.621755544,448658.437564943,190438.2616865004,211253.62029668316,-59090420.67009732,-16183172.516858062,18275218.3587931,326009034.0012829,2127439.468209301,3066308.3722218107,10108081.212853095,-81492381.25330706,4770305.110117861,-33051934.54116494,-88144275.72664823,21381116.40425986,334447774.63199276,-2894083.9482351225,5306564.838917367,-5178314.429941114,16789850.991408706,8122102.733461498,1222141.1228746227,-122747726.564473,4763306.06160382,-95136.90282186517,-759168.7773554451,-2597061.889592098,-3531577.2263398226,1522291.9408528104,75578103.3823494,-1316453.082878176,-67600093.80842078,11537255.014696162,-35323179.048066474,2456429.574830368,702401.5046203302,-15536477.348373145,656765390.6043216,-2285259.836845508,32628847.128704086,96536880.06525089,-2219544.386815509,-2290054.0186669026,39141383.54779916,6375479.800572943,22857818.902990486,28480914.054048035,-674885726.4384499,-1063140.4231334524,61987766.12956192,54156157.72231165,11943232.617036927,396113.1908618335,26632052.774750877,28919696.581227917,-62963099.93931247
81,731246.2259737707,743802.6423771281,5608418.786733698,-89929.73360726424,988363.6625506564,4588757.470494858,502640.5130822067,19656066.491104227,7301630.2005679915,707584.1973879922,15279390.75758684,723409.3530461253,722767.1781561079,-1962225.238108367,5079803.794241673,1444828.0135803956,4504671.534300387,10532514.611883033,-3435134.3601063183,-1978116.3844034409,772802.3341575072,19116028.674716946,576908.6492543225,722331.4189246383,-1236128.9114558115,631363.1967522826,723237.5976285404,715227.5197914145,723136.498759158,1562867.9476088893,953199.1859377781,725294.1016505563,473713.472411687,722084.1386832728,-4394548.234875474,1368731.8778354945,12895913.98386252,-9317676.129345333,1230116.0421406073,630674.8959466338,855433.7340156187,560051.3378417818,-10631128.97036463,-1154324.1200611154,-14482485.255878419,-3340042.5532664573,761558.2611918864,809984.1902850727,-14419703.563725997,-2562017.6664101155,404982.9013152565,-3697100.9753664606,51958634.61263002,733711.7477598595,783842.0191575137,749165.990342675,5221420.457196965,7697512.412694829,4451824.754987791,815760.723619092,-3595754.7949957047,-4281343.623081357,668048.86003016,36739041.00975971,-14838307.219855038,721381.5001868447,4932216.226556645,380231.74028892675,87591820.46931025,7725199.723337909,4219015.6626570355,10330770.555530654,590991.8395644971,25081788.737168428,-4471441.4532963885,729383.3279992125,1034803.0156625623,723350.629281597,4951637.007544874,781500.8462618096,707823.5574410844,2067237.0194093513,3470690.489938708,1570810.821925089,707630.3030756405,467595.27283185767,-255981.11242779414,14599346.090691974,725830.0786637093,733109.1239483289,1873289.8361371993,8882893.544749781,2979696.600595538,17854708.290569637,717053.3801066198,658407.4109845532,608355.0848303034,724218.1507971212,542640.7932802152,99935082.69652303,1054058.52314905
