Well_ID,Prediction_BBL,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
72,1299471.7040592197,1341265.5802889175,1294974.7765950062,1346489.9086004402,1255362.478714209,1223489.730380933,1731967.530242984,1307310.455283784,1214980.9512750644,1263613.4278445197,1288161.8850055146,1237170.655707425,1319915.3245900427,1416828.7620738423,1413311.6025557225,1309023.8791694778,1315589.6138580982,1268997.300261534,1374550.154011189,1261227.4858396796,1448100.0125262039,1473516.005409277,1226458.4545417037,1301529.0724962237,1352015.3657781496,1262568.7553049298,1273570.5826448803,1286807.8133428684,1956247.171123353,1455376.7708840517,1160500.4046246076,1354753.1407447162,1352784.6290851762,1380979.059003455,1371806.785994606,1430687.036921291,1317260.1786849047,1275240.2015270065,1101400.3219233193,1612898.5823501004,1246763.9712682753,1167000.125031373,1457106.5672430291,1647136.6709202244,1306085.3584594242,1245731.1398456749,1279539.2191882438,1513943.1239357097,1370614.3739318836,1172186.3757957066,1263093.2839299033,1380225.0482418952,1349791.3478551467,1123826.2238988047,1328390.4604924433,1334557.105892594,1655814.182011026,1382581.3115849413,1223627.8778635925,1241542.2209003428,1527249.2107705695,1234811.4742505057,1332449.377551322,787689.1879003224,1228732.6220872,1305540.757063141,1043544.5684342441,1296116.1377926716,1261419.798981125,1317036.4372795557,1153990.6791232347,1244640.100287628,1247873.3996758987,1259678.1946235953,1148577.7264869078,1351612.1348158885,1611053.5306388512,1226940.268495347,1368200.9389945709,1269076.243085929,1418787.4232939428,1128499.3988019552,1150315.0048106865,1306110.5355179734,1246664.3499621958,1086824.8909141314,1297414.3356222156,1289054.8148752742,1197242.9169068176,1417184.8587891073,1324467.0644115703,1236369.7165979133,1174551.9356459896,1477353.3648612602,1264506.1562423487,1354829.636574358,1274822.9057768427,1402739.8967518206,1650876.0558341958,1336124.4894768535,1286987.3584336657
73,1898747.8682919266,1973348.840075718,2265855.6801836556,1639330.5163171883,1784737.8971339103,1773277.4518157262,1818236.5682116812,1840877.0080101115,1751825.7980642123,1741061.5553887482,1808919.3184127258,1855676.593753544,2064523.3339476862,1945569.0300638801,1807152.5776141332,1907580.1198543585,2008768.0247684664,1889923.5500379603,1768690.9580303612,2109804.201554887,1832889.4991971496,2017398.9051714633,1853512.5886060027,2000464.212371815,1982544.1813770488,2041798.9646236391,1818690.341285191,1876327.5788312533,1868067.1990296799,2142050.001362762,1917589.8021595755,1802637.4034714424,1955893.3485680418,1798288.6133335773,1933496.300743998,1964314.1283355008,2340506.3275013613,1811179.8583786879,1649477.8101269584,1909826.2256298976,1882748.849349838,1885959.9375551734,1887146.7328842576,2048984.0253343976,1961575.0207349998,1971082.9728039887,1936813.9304966156,1934853.9993265662,1805977.0338829153,2006088.5511030357,2208772.3220081786,1910220.843967419,1953036.2560122968,2113370.211826524,1864056.388038687,1582144.6691895248,1836097.69995464,1833698.2173415706,1741242.0722453932,1843202.3520084699,2167690.2065602727,1867634.05499164,2123199.937537035,2013658.5028352982,1867926.6814325966,2143949.642001561,2036381.6133825483,1853659.3768249766,1838125.5115407393,1815176.3973987182,1715591.99391468,1907572.1865458926,1932791.6548637135,1730118.8722349547,1844385.1097194222,2145802.6355566927,1978910.8343856724,2041037.920654845,1849922.414371389,1819535.5084327983,1921910.4576471662,1681480.33038439,1913225.745241262,1842624.9124456265,1991442.0417401723,2127561.7899456816,1880714.6674734796,2184510.2948920913,1840112.5874660332,1960049.9808911714,1940588.238331758,1644902.4539340148,2245414.933335571,1821522.9928881228,2069755.2941364374,2094470.510997874,1849939.4653323179,1872615.4170047469,1810266.0939840567,2082344.5790665012,1982550.4425117685
74,1467782.11690298,1427747.5882210487,1540606.1082693653,1373967.0654282414,1467970.1110933132,1494818.348446595,1397784.3906116995,1533898.5233218404,1398417.6256108433,1531267.4681273405,1462612.3099704846,1557013.5997558539,1427626.2044215105,1461551.7723911342,1578965.261384552,1457422.7726410432,1384000.8066216742,1537847.0342678023,1415485.9497446963,1512015.3078320555,1402945.046375569,1469730.3619716228,1463335.1052528326,1453771.347346002,1574287.3074434518,1347099.008023397,1675499.3838781514,1521122.4954484843,1750759.2533613204,1594659.7751870828,1555602.7768807616,1601398.9915545173,1733058.5073726985,1816562.3226374509,1472559.4404819899,1525732.4293512213,1425043.3434135383,1414738.1137457958,1489199.5278458982,1269122.8697706545,1451390.2212943214,1383930.105261384,1488528.4676686197,1358397.5971486182,1514726.1454844,1392247.2957981902,1447377.6370284432,1450753.4364364448,1365240.214901207,1524438.7452091512,1547739.7965896858,1535489.9290210116,1523418.1692327196,1603481.1201632407,1761320.015732371,1564688.2023410017,1598215.1802673363,1512955.2934415243,1321615.0202993497,1460216.2951779144,1598196.9133008523,1570033.5861357506,1377897.0964162333,1459319.620787956,1427954.957314162,1297971.1212802106,1467594.122712647,1455618.2379891356,1508040.8816180625,1459944.6893357518,1296122.418876743,1358648.0124313752,1392555.7544146066,1420274.417541972,1368892.9083289537,1616195.4285526734,1516191.2420873032,1342577.8892155713,1365731.4394585611,1500528.8424792294,1592100.240158354,1403685.5688509885,1461266.0646269298,1294362.4684231398,1608683.2013635421,1506813.9747454608,1410195.945438176,1319356.3316883557,1507769.665079,1631413.187803725,1640544.8153917613,1495217.3463811346,1507562.4894661685,1355533.4786613237,1443228.0646425027,1343546.321220938,1512092.00440906,1566315.767386982,1300413.2269981029,1358633.684884234,1596689.750616368
75,2419116.1617301796,2143893.4270133823,2250215.8088848162,2548990.8858536202,2508749.23236369,2406658.724782831,2164459.831130353,2544029.4000181584,2518436.6453023804,2512453.718095526,2161098.2815718404,2400205.5231329165,2544058.468563129,2151083.0314057814,2203248.413409504,2478227.3532631746,2556312.7091539367,2202574.4678807533,2468418.195698474,2533509.6714563356,2492774.0311029237,2591372.7321349336,2356874.223942739,2251973.3483402,2505355.7301449655,2446615.402245323,2414006.4522364005,2362284.5048161414,2521965.4516836377,2219933.5455287364,2276483.055822334,2203766.557034763,2158561.9594661756,2417698.419935628,2546158.293510599,2477182.907096782,2554062.092762584,2228585.611993875,2324203.3853595615,2455299.838395894,2510827.2496173005,2414096.6811515093,2482233.1167011596,2457837.6311126463,2564751.72669134,2395125.203440393,2168777.7750825235,2187654.1286308793,2397430.581857744,2292687.577973345,2505004.839991626,2096727.6258586682,2420533.9035247313,2277526.1063391776,2520259.2449490135,2517333.815918074,2510823.8844559346,2406332.571818896,2430599.6117408527,2428859.2267289753,2216046.3239858067,2517786.812462795,2536044.6957858093,2530414.963664398,2224728.6123260283,2221444.639876144,2432859.3857893012,2555408.226944064,2330309.83512237,2126912.020085956,2618335.4308729395,2592868.963862525,2344973.8177484525,2348937.256713954,2193151.578522522,2470510.571767239,2495780.6649305816,2479505.741283831,2178152.833869876,2291386.9478694457,2385889.6289698565,2488767.3835360343,1979433.7137532034,2275793.18741772,2369680.1058809967,2470532.7586523397,2391591.4663234237,2403138.992780899,2568611.0485180323,2559780.218751573,2424481.4513770286,2394577.4700516136,2531733.8055117484,2245693.214618028,2256901.9575652075,2499070.465304331,2442645.0015665516,1905366.63516561,2180395.1195613225,2537859.8323782682,2477861.775922672
76,1576083.361122135,1452077.6294675036,1551644.8120456734,1512192.7962707232,1571157.4675704984,1485686.3731275857,1413379.2376569242,1570023.6693218688,1606634.6460461246,1540542.5584576866,1647310.3431733397,1590667.5810631062,1841676.7207429265,1591378.1049728384,1601029.5653647035,1585621.6919986515,1515346.0035689971,1608990.2558424415,1620325.4294112073,1545022.329132127,1331300.4630238255,1648420.7431765592,1518491.344834619,1388793.9100438477,1613476.7406150363,1681770.0548648818,1560160.705291763,1381421.5862904722,1467587.5154480585,1655572.1709168453,1542040.1577085084,1619888.8191887252,1684277.5852433606,1571627.1173279667,1604878.031750496,1432976.8713936503,1683184.8034640264,1705283.4403310514,1592154.06840792,1691321.1132365768,1442280.8736138907,1510022.6815732499,1550342.9536818054,1619086.2319089372,1406050.5764268003,1568508.1280968103,1396792.7266690945,1445708.3922126978,1703368.605758613,1583891.8373858999,1549705.5538470063,1457300.1970651564,1629046.47111781,1725705.3611016104,1805505.8150968621,1799309.2163566828,1637324.3785061538,1586520.9938206924,1484544.2078017,1552716.3169681642,1600934.8853321497,1692419.231599548,1703183.335312055,1649786.4075208234,1406221.2925106809,1746363.563898829,1645537.5690201528,1682158.6997098196,1411336.1522281636,1577705.0621081907,1665619.6046231287,1721122.2828867554,1451511.2221665084,1606320.9969857563,1595665.538642492,1642879.6496518601,1558921.6422614402,1627364.34603074,1696943.2235714348,1397534.4847871806,1537924.139855272,1401861.19051667,1549025.6572808302,1547622.030774393,1323010.1923616943,1651487.3058053341,1514113.013764128,1587641.6742414671,1551689.314951778,1503526.7503166045,1552209.6195871946,1587451.2509672523,1385453.132542477,1490314.7011274272,1650213.9732074658,1428626.5904924707,1600110.6264769775,1574461.6601360796,1602356.3579587091,1530575.1688017398,1348914.7465413949
77,1314906.2769557186,1394779.631343803,1058778.7240951,1313467.799820372,1305758.3975708608,1216040.8401884134,1211406.6188259013,1275390.786593479,1329506.6313295218,1319849.8306613893,1285637.5817413223,1330910.530135492,1349302.6109050096,1326165.5520704133,1424203.7420846014,1282125.2423537374,1146374.0269021112,1333005.941152099,1278702.7157328806,1193541.295713285,1420044.6459799362,1335888.7499113258,1283010.0869494672,1131521.594879237,1400362.4659269329,1290397.8049370865,1159570.1321746262,1127179.2139392043,1254900.7072065654,1294565.7100056144,1458009.8956316698,1403845.434631565,1309244.5515911127,1143577.1682822928,1386803.7198353687,1485937.9098000252,1483381.7490369703,1285273.758835007,1357125.1962055028,1292701.332127767,1086158.7195921966,1283388.1791471192,1413046.0390484687,1353265.4064777,1236741.8317666817,1339080.4976202357,1280339.5169621482,1883902.4436930842,1380343.4276452577,1316344.7540910654,1142322.571041089,1186897.390718096,1178602.663398285,1409634.0781995445,1286038.821474937,1211886.5578302627,1269208.80400596,1374374.1113292146,1399334.8912698964,1287470.1533987203,1320684.730571818,1449166.8467025328,1199795.8273037218,1266792.2018398938,1213549.5889726973,1388313.8282200105,1245271.2595123246,1369111.2275179639,1373304.3918124624,1377485.7476294735,1312085.4967331048,1423509.518284512,1288869.1116520558,2032694.7767925486,1287876.2973829259,1464069.9950887673,1191510.076681559,1192115.7209994877,1378462.388755472,1332511.0893861684,1324193.6042088987,1417085.452599831,1307278.7008095826,1373827.8757652459,1266639.436655718,1516709.947984526,1400034.359015237,1345978.3447494963,1364079.7657302746,1303154.3371409222,1216821.8778132228,1492802.3422339768,1277465.1822667036,1467130.574937398,1294264.4221965647,1464474.4591196408,1387753.5805762752,1312008.37131788,707734.4587113126,1319511.1243252042,1464947.7104767314
78,294328.11061583273,-223957.21414710814,389984.1442722543,292094.91957312706,-548964.3376526185,213367.62208600366,344583.96875446755,238701.22940746043,536435.2132516629,486223.3621364448,695866.8945106417,479577.26523909054,436147.21826296486,-1125273.022593845,323518.99387272145,117267.53076701937,393900.3261156636,14171.021482358687,243261.29440620868,487674.1962664211,461780.25031567994,-289479.76981473295,-55148.23141649808,-319993.86440894054,474006.5784759654,238636.5294468843,327353.4767544945,433836.25503155426,556647.0105782691,-187311.92261852487,743712.9900890249,506138.7168220051,152452.57490237174,-1070702.1874804278,336162.07009844435,546758.5238355009,140811.42761022644,-221249.65700225835,12486.122160513652,-95170.43027701671,711292.2224830058,613683.2318118721,323723.92710853764,761731.7718240224,29232.30782271945,394516.00199136767,288953.49761206517,583225.9157377467,-792801.8168153674,-5823.749938943889,366127.20044730953,1247935.8448215472,278605.23459853465,1317903.4279283518,636667.4179469154,-14463.340952559374,365242.1311726053,186196.6528442416,323455.0340750881,-1331479.8735200206,361432.9040880343,-327245.7010375946,642748.0161095455,-1985281.6046171824,1547726.431700629,232717.9136791923,-1134015.8064499921,261659.23008743883,326223.44756785897,454419.1788694728,1817423.9800726995,447332.4362045869,-1003936.7105460935,462523.24018920725,189189.22979265312,294824.3776100022,696054.9484860136,-1045674.0623285931,458063.0173791512,301904.7513951517,427833.13605374703,905519.6804925634,288385.5146283896,-661597.3162577404,204047.32112816465,293831.8436216633,270620.3661230954,40782.78225576645,-10353.44191622152,437075.3144705214,614992.3429692554,30742.35942095192,-282030.05609402526,-8697.503907101462,-128745.34987850278,455096.60837554396,50971.68916822062,-787686.0674249975,-49064.969941966934,298130.7637265851,548581.7882602006
79,768686.4177369911,963027.8634146118,726160.8185468492,332228.37521624495,782820.9873084638,843429.9696028023,1135921.833685375,935969.8539365041,674365.6750579956,527391.8200680057,759501.4980996101,346447.43958711275,1313571.0603294931,742153.9183274588,734703.7066214009,759106.1325342049,1242355.290836637,745344.6816651527,835152.6180644592,718957.2425555356,771770.893106452,1262252.2445353954,1812980.4142979882,686385.5558987367,755495.8333721742,933692.293901827,791348.1346225082,761063.8927373899,727751.1287409742,731147.804826758,735598.0122303292,806216.5273822619,755910.474949845,786371.351870235,1322131.891302469,712162.5673177766,768787.2491676843,762926.656430809,822268.7588507236,770435.4311326322,801153.1532010442,1234141.485739866,695838.5828252113,1109345.2560296466,1656267.5293313107,766905.5133702364,272925.6439136227,768585.5863062977,802010.4070443708,809460.2213937065,584521.426600818,1309332.6823250372,753061.6798265782,833170.3337698836,1031275.7123240439,698757.6134760223,754391.5829875219,828792.940323505,765286.614006727,831752.4431451197,702666.9658171063,262898.4019452373,825345.8724541442,661225.9932862072,721236.6689925181,795784.4037233404,724807.2953920098,799393.9017559084,737649.3080988483,738745.9028390957,765088.7065202203,1425760.8861282286,827564.9607177827,781244.5872583974,801170.5364143151,731817.8140551692,685977.1996524748,736426.4564886861,1278973.3938093465,839228.9407787332,1203544.1732116384,775468.125363532,432488.4810024288,870381.731773795,735246.8858298813,777179.0746383693,706511.4513495488,1484245.7595302435,862686.891455238,688833.4170319347,830871.2759966943,693808.2745858682,508392.6135786483,723112.7532007372,1114984.3942595043,727175.4833643662,721012.515223516,820917.2272772617,635016.5669944235,776291.3033214165,816815.7670249718
80,392747.9819485238,-523489.71225150675,478674.49958865694,175677.96286725975,378015.21625052975,63911.55284847482,875535.6390216057,715810.7056036383,572198.9375672836,-1258719.3609027006,-138136.33733571274,409268.07738717785,2028623.5599285385,-1133641.811968298,459229.6785524874,487739.0164023407,1210930.0365035576,412858.9369487688,313019.6036462884,136287.6263809651,628619.2573657358,569683.1929526257,262193.0176075115,460726.4614722107,457008.53830941604,-462297.5012758102,642053.7614336314,247356.85826527,261337.62527393177,520767.6752676623,559760.7110271065,629124.9300562869,573281.5720419993,-320582.4829561608,424399.8513301427,572667.299373748,337412.7519829171,347159.1484160018,-538934.1742018086,-1031986.0327193046,95923.50193362008,315686.3678482354,1417523.7399073802,597911.9329194368,-98304.11561998678,120333.64526998647,152500.4230534141,346486.7628020602,-160781.0453557046,302043.7622980415,794703.9529788354,588732.198647141,394565.68770681345,541957.3366509378,223418.607222124,28477.22662779689,1690220.1478052507,-332265.8338587079,423183.7116274121,-533327.5364103664,414500.6157895692,1189710.4200264672,309938.8188930503,293389.17136710766,1487558.9229165358,578027.3794699009,-608484.9170267191,267821.7375800989,1019564.3686942325,221289.25720762275,305734.3319438251,394091.73286321084,397456.6781146107,714740.3311241362,133338.96432625665,-2411985.375305202,658771.9778071775,2338246.5251573245,108458.99025655468,1269623.847427254,733440.00550941,540924.4133290038,303874.02511654445,383777.9313852538,391404.2310338367,231333.49829398887,95123.7120885516,1378505.3037545332,-53382.5365129502,282053.8304057922,789411.2498648787,330892.125550902,878460.8358355147,-70392.29315077211,537988.3786699893,286111.16931528086,491414.08709114324,400631.760591049,47455.05978087662,617235.4755757323,398894.33890341385
81,721641.9383010981,668971.7302408377,671832.3711078684,823461.6299483433,670430.0854830875,722019.0798413926,719049.3634425481,827265.6385087426,914161.0051034959,1630594.5297247767,672419.9539938008,713017.3153472964,694558.9533840043,627351.5330225262,675273.5208320884,753457.8987216736,681203.2798616132,735542.655158618,720030.064279412,716857.6445381234,708407.7497203556,695323.4242184596,727629.088492484,811764.2186244644,449032.79674691847,737970.3747508132,708447.3814384069,665860.1038697592,-97621.33905521175,707573.2851768825,267194.145844874,784214.4565848028,741737.0380955018,710334.0916624013,681300.1135178151,768809.3852363843,715418.8844303302,693553.3667465863,1078340.2807159629,660352.0431784276,615945.625901096,790576.2924871338,950521.6191889931,733123.2967540201,1693029.7408485964,739261.2290201721,2697818.702853074,819956.3004530746,1222730.8756285773,752494.9042393442,679792.5221446136,664972.2715970759,852274.5493382679,722327.1114793557,1670014.8275243759,737286.0369004122,995769.4203039843,1071508.6365286391,673906.1061200659,1207199.5818495871,621679.5572946795,684902.2072361668,689266.7637122637,446764.30365769146,717258.4737018967,721264.7967608037,523544.1395114637,716232.8510916837,2109096.4324095864,663120.346691928,699430.8273713792,733080.2448500118,1559587.4035426283,738875.8300544568,1357869.5612250692,940540.6803405134,1201483.1167328733,673854.313060913,786075.6109993886,48211.83561596298,492089.48115586117,677220.6852818297,1108003.4780944076,1346282.9398415545,710187.9566655613,429673.2640645716,691388.0806210688,676284.8732672918,776536.2322643744,732613.3583129894,927814.1331722469,457621.0939377004,723458.2333712969,742137.2488851771,722055.6906303985,698241.453921414,883576.7733822528,984965.0008385207,726412.6756332642,350081.71669543185,762564.5080335325
